Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Ecotype,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Experimental_Factor:_developmental_stage (exp),Experimental_Factor:_organism_part (exp),Experimental_Factor:_sampling_site (exp),External_Id,Genotype,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,organism_part,Organism,Platform,ReleaseDate,Sample Name,Sample_name,SRA Study,Submitter_Id,Sampling_site
ERR3333423,22,RNA-Seq,152,5038560296,PRJEB32665,SAMEA5618925,ArrayExpress,1646670861,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358138,adult,rosette leaf,rosette leaf 10,SAMEA5618925,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 41_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618925,E-MTAB-7978:Sample 41,ERP115370,E-MTAB-7978:Sample 41,rosette leaf 10
ERR3333424,22,RNA-Seq,152,5177792296,PRJEB32665,SAMEA5618926,ArrayExpress,1687887174,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358139,adult,rosette leaf,rosette leaf 11,SAMEA5618926,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 42_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618926,E-MTAB-7978:Sample 42,ERP115370,E-MTAB-7978:Sample 42,rosette leaf 11
ERR3333425,22,RNA-Seq,152,5043270928,PRJEB32665,SAMEA5618927,ArrayExpress,1667033233,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358140,adult,rosette leaf,rosette leaf 12,SAMEA5618927,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 43_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618927,E-MTAB-7978:Sample 43,ERP115370,E-MTAB-7978:Sample 43,rosette leaf 12
ERR3333426,28 to 35,RNA-Seq,152,5335241648,PRJEB32665,SAMEA5618928,ArrayExpress,1784058909,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",flower stage 9,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358141,flower stage 9,flower,not applicable,SAMEA5618928,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 44_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618928,E-MTAB-7978:Sample 44,ERP115370,E-MTAB-7978:Sample 44,
ERR3333427,28 to 35,RNA-Seq,152,5152713968,PRJEB32665,SAMEA5618929,ArrayExpress,1668071265,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",flower stage 10,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358142,flower stage 10,flower,not applicable,SAMEA5618929,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 45_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618929,E-MTAB-7978:Sample 45,ERP115370,E-MTAB-7978:Sample 45,
ERR3333428,28 to 35,RNA-Seq,152,5374943440,PRJEB32665,SAMEA5618930,ArrayExpress,1742511199,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",flower stage 11,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358143,flower stage 11,flower,not applicable,SAMEA5618930,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 46_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618930,E-MTAB-7978:Sample 46,ERP115370,E-MTAB-7978:Sample 46,
ERR3333429,28 to 35,RNA-Seq,152,5027732272,PRJEB32665,SAMEA5618931,ArrayExpress,1632492180,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",flower stage 12,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358144,flower stage 12,flower,not applicable,SAMEA5618931,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 47_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618931,E-MTAB-7978:Sample 47,ERP115370,E-MTAB-7978:Sample 47,
ERR3333430,28 to 35,RNA-Seq,152,5104679688,PRJEB32665,SAMEA5618932,ArrayExpress,1667447254,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",flower stage 13,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358145,flower stage 13,flower,not applicable,SAMEA5618932,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 48_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618932,E-MTAB-7978:Sample 48,ERP115370,E-MTAB-7978:Sample 48,
ERR3333431,28 to 35,RNA-Seq,152,5663719120,PRJEB32665,SAMEA5618933,ArrayExpress,1833720568,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",silique stage 1,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358146,silique stage 1,silique,not applicable,SAMEA5618933,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 49_p,PAIRED,PolyA,TRANSCRIPTOMIC,silique,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618933,E-MTAB-7978:Sample 49,ERP115370,E-MTAB-7978:Sample 49,
ERR3333432,28 to 35,RNA-Seq,152,5479448760,PRJEB32665,SAMEA5618934,ArrayExpress,1778725384,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",silique stage 3,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358147,silique stage 3,silique,not applicable,SAMEA5618934,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 5_p,PAIRED,PolyA,TRANSCRIPTOMIC,silique,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618934,E-MTAB-7978:Sample 5,ERP115370,E-MTAB-7978:Sample 5,
ERR3333433,28 to 35,RNA-Seq,152,5005092784,PRJEB32665,SAMEA5618935,ArrayExpress,1636725922,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",silique stage 2,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358148,silique stage 2,silique,not applicable,SAMEA5618935,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 50_p,PAIRED,PolyA,TRANSCRIPTOMIC,silique,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618935,E-MTAB-7978:Sample 50,ERP115370,E-MTAB-7978:Sample 50,
ERR3333434,28 to 35,RNA-Seq,152,5385890784,PRJEB32665,SAMEA5618936,ArrayExpress,1751270978,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",silique stage 4,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358149,silique stage 4,silique,not applicable,SAMEA5618936,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 51_p,PAIRED,PolyA,TRANSCRIPTOMIC,silique,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618936,E-MTAB-7978:Sample 51,ERP115370,E-MTAB-7978:Sample 51,
ERR3333435,28 to 35,RNA-Seq,152,4998458288,PRJEB32665,SAMEA5618937,ArrayExpress,1644966744,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",silique stage 5,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358150,silique stage 5,silique,not applicable,SAMEA5618937,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 52_p,PAIRED,PolyA,TRANSCRIPTOMIC,silique,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618937,E-MTAB-7978:Sample 52,ERP115370,E-MTAB-7978:Sample 52,
ERR3333436,28 to 35,RNA-Seq,152,5582544584,PRJEB32665,SAMEA5618938,ArrayExpress,1860581013,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",embryo stage 6,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358151,embryo stage 6,seed,not applicable,SAMEA5618938,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 53_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618938,E-MTAB-7978:Sample 53,ERP115370,E-MTAB-7978:Sample 53,
ERR3333437,28 to 35,RNA-Seq,152,5569615920,PRJEB32665,SAMEA5618939,ArrayExpress,1848155502,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",embryo stage 7,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358152,embryo stage 7,seed,not applicable,SAMEA5618939,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 54_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618939,E-MTAB-7978:Sample 54,ERP115370,E-MTAB-7978:Sample 54,
ERR3333438,28 to 35,RNA-Seq,152,4916088728,PRJEB32665,SAMEA5618940,ArrayExpress,1631736199,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",embryo stage 8,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358153,embryo stage 8,seed,not applicable,SAMEA5618940,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 55_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618940,E-MTAB-7978:Sample 55,ERP115370,E-MTAB-7978:Sample 55,
ERR3333439,28 to 35,RNA-Seq,152,4731506768,PRJEB32665,SAMEA5618941,ArrayExpress,1568710459,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",embryo stage 9,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358154,embryo stage 9,seed,not applicable,SAMEA5618941,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 56_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618941,E-MTAB-7978:Sample 56,ERP115370,E-MTAB-7978:Sample 56,
ERR3333440,35 to 42,RNA-Seq,152,7687679680,PRJEB32665,SAMEA5618942,ArrayExpress,2547023672,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",embryo stage 10,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358155,embryo stage 10,seed,not applicable,SAMEA5618942,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:19Z,public,Illumina HiSeq 2500,Sample 6_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618942,E-MTAB-7978:Sample 6,ERP115370,E-MTAB-7978:Sample 6,
ERR3333441,not available,RNA-Seq,152,6371284592,PRJEB32665,SAMEA5618943,ArrayExpress,2160757883,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",dry seed stage,Col-0,2020-01-10,2020-01-10,2019-06-12,2019-05-20,ERX3358156,dry seed stage,seed,not applicable,SAMEA5618943,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:19Z,public,Illumina HiSeq 2500,Sample 7_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618943,E-MTAB-7978:Sample 7,ERP115370,E-MTAB-7978:Sample 7,
ERR3333443,28 to 35,RNA-Seq,152,4840143600,PRJEB32665,SAMEA5618945,ArrayExpress,1659063287,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358158,flower stage 15,pollen,not applicable,SAMEA5618945,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:19Z,public,Illumina HiSeq 2500,Sample 9_p,PAIRED,PolyA,TRANSCRIPTOMIC,pollen,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618945,E-MTAB-7978:Sample 9,ERP115370,E-MTAB-7978:Sample 9,
ERR3333442,not available,RNA-Seq,152,6127532832,PRJEB32665,SAMEA5618944,ArrayExpress,2064236068,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",seed imbibition stage,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358157,seed imbibition stage,seed,not applicable,SAMEA5618944,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:19Z,public,Illumina HiSeq 2500,Sample 8_p,PAIRED,PolyA,TRANSCRIPTOMIC,seed,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618944,E-MTAB-7978:Sample 8,ERP115370,E-MTAB-7978:Sample 8,
