Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue,dev_stage,Age
SRR3581849,RNA-Seq,50,1369673000,PRJNA314076,SAMN05170726,Plant,943975183,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796286,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Leaf Vein of the senescent leaf (L.VN.sn),SRP075604,Leaf midrib,first silique was yellow and ready to open,
SRR3581850,RNA-Seq,50,1434733150,PRJNA314076,SAMN05170727,Plant,952917258,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796716,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Opened Anthers (F.AN),SRP075604,Opened Anther,anthesis of the first flower,
SRR3581851,RNA-Seq,50,1335091650,PRJNA314076,SAMN05170728,Plant,881504783,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796717,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Carpels of the mature flower (F.CA.ad),SRP075604,Carpel,anthesis of the first flower,
SRR3581852,RNA-Seq,50,1182073800,PRJNA314076,SAMN05170729,Plant,784024312,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796718,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Anthers of the mature flower (F.AN.ad),SRP075604,Anther before opening,anthesis of the first flower,
SRR3581853,RNA-Seq,50,1740028500,PRJNA314076,SAMN05170730,Plant,1154373583,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796733,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Stamen filaments of the mature flower (F.FM.ad),SRP075604,Stamen filament,anthesis of the first flower,
SRR3581854,RNA-Seq,50,1303382450,PRJNA314076,SAMN05170731,Plant,864713006,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796734,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Petals of the mature flower (F.PT.ad),SRP075604,Petal,anthesis of the first flower,
SRR3581855,RNA-Seq,50,1336216250,PRJNA314076,SAMN05170732,Plant,883598286,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796735,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Sepals of the mature flower (F.SP.ad),SRP075604,Sepal,anthesis of the first flower,
SRR3581856,RNA-Seq,50,1311759500,PRJNA314076,SAMN05170733,Plant,882640114,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796736,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Carpels of the young flower (F.CA.y),SRP075604,Young carpel,stage 9,
SRR3581857,RNA-Seq,50,1515648150,PRJNA314076,SAMN05170734,Plant,1010496808,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796737,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Anthers of the young flower (F.AN.y),SRP075604,Young anther,stage 9,
SRR3581858,RNA-Seq,50,1148727750,PRJNA314076,SAMN05170735,Plant,770766955,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796738,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Sepals of the young flower (F.SP.y),SRP075604,Young sepal,stage 9,
SRR3581859,RNA-Seq,50,1250306700,PRJNA314076,SAMN05170736,Plant,800451246,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796739,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flower 1 (F1),SRP075604,Flower 1,anthesis of the first flower,
SRR3581860,RNA-Seq,50,1284169900,PRJNA314076,SAMN05170737,Plant,872342598,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796740,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flower 2 (F2),SRP075604,Flower 2,anthesis of the first flower,
SRR3581861,RNA-Seq,50,1288521950,PRJNA314076,SAMN05170738,Plant,858934059,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796741,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flower 3 (F3),SRP075604,Flower 3,anthesis of the first flower,
SRR3581862,RNA-Seq,50,1210499550,PRJNA314076,SAMN05170739,Plant,810672871,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796742,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flower 4 (F4),SRP075604,Flower 4,anthesis of the first flower,
SRR3581863,RNA-Seq,50,1350001750,PRJNA314076,SAMN05170740,Plant,900218986,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796743,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flower 5 (F5),SRP075604,Flower 5,anthesis of the first flower,
SRR3581864,RNA-Seq,50,1140008600,PRJNA314076,SAMN05170741,Plant,765319366,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796744,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 6-8 (F6-8),SRP075604,Flower 6-8,anthesis of the first flower,
SRR3581865,RNA-Seq,50,1349009150,PRJNA314076,SAMN05170742,Plant,860375398,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796745,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 9-11 (F9-11),SRP075604,Flower 9-11,anthesis of the first flower,
SRR3581866,RNA-Seq,50,1254082550,PRJNA314076,SAMN05170743,Plant,845980806,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796746,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 12-14 (F12-14),SRP075604,Flower 12-14,anthesis of the first flower,
SRR3581867,RNA-Seq,50,1154235900,PRJNA314076,SAMN05170744,Plant,777244307,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796747,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 15-18 (F15-18),SRP075604,Flower 15-18,anthesis of the first flower,
SRR3581868,RNA-Seq,50,1295397600,PRJNA314076,SAMN05170745,Plant,864681493,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796748,Russia,Europe,Russia: Moscow,Illumina HiSeq 1500,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 19 and following (F19+),SRP075604,Inflorescence,anthesis of the first flower,
SRR3581869,RNA-Seq,50,1618264650,PRJNA314076,SAMN05170746,Plant,1075870067,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796749,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pedicel (PED),SRP075604,Pedicel,anthesis of the first flower,
SRR3581870,RNA-Seq,50,1139712300,PRJNA314076,SAMN05170747,Plant,734729900,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796750,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Axis of the inflorescence (AX),SRP075604,Inflorescence axis,anthesis of the first flower,
SRR3581871,RNA-Seq,50,1183904350,PRJNA314076,SAMN05170748,Plant,762881078,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796751,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Internode (IN),SRP075604,Internode,anthesis of the first flower,
SRR3581872,RNA-Seq,50,1513657050,PRJNA314076,SAMN05170749,Plant,1049911102,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796752,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 1 (SD1),SRP075604,Seed 1,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581873,RNA-Seq,50,1568897550,PRJNA314076,SAMN05170750,Plant,1069930496,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796753,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 1 (POD1),SRP075604,Pod 1,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581874,RNA-Seq,50,1800096200,PRJNA314076,SAMN05170751,Plant,1210649518,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796754,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 2 (SL2),SRP075604,Silique 2,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581875,RNA-Seq,50,1976272550,PRJNA314076,SAMN05170752,Plant,1379664926,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796755,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 3 (SD3),SRP075604,Seed 3,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581876,RNA-Seq,50,1712795850,PRJNA314076,SAMN05170753,Plant,1140120260,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796756,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 3 (POD3),SRP075604,Pod 3,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581877,RNA-Seq,50,1304760800,PRJNA314076,SAMN05170754,Plant,901069827,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796757,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 4 (SL4),SRP075604,Silique 4,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581878,RNA-Seq,50,1702525150,PRJNA314076,SAMN05170755,Plant,1170474517,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796758,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 5 (SD5),SRP075604,Seed 5,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581879,RNA-Seq,50,1458623850,PRJNA314076,SAMN05170756,Plant,960661141,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796759,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 5 (POD5),SRP075604,Pod 5,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581880,RNA-Seq,50,1530659150,PRJNA314076,SAMN05170757,Plant,1012718285,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796760,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 6 (SL6),SRP075604,Silique 6,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581881,RNA-Seq,50,1693690900,PRJNA314076,SAMN05170758,Plant,1174593166,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796761,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 7 (SD7),SRP075604,Seed 7,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581882,RNA-Seq,50,1351607300,PRJNA314076,SAMN05170759,Plant,878322502,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796762,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the silique 7 (POD7),SRP075604,Pod 7,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581883,RNA-Seq,50,1601876250,PRJNA314076,SAMN05170760,Plant,1067378586,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796763,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Silique 8 (SL8),SRP075604,Silique 8,first silique is 1-1.5 cm long (abscission of the 8th flower),
SRR3581884,RNA-Seq,50,1363301200,PRJNA314076,SAMN05170761,Plant,910637766,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796764,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 1 (SD.y1),SRP075604,Seed from silique 1,abscission of the first flower,
SRR3581885,RNA-Seq,50,1281407500,PRJNA314076,SAMN05170762,Plant,854108274,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796765,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 2 (SD.y2),SRP075604,Seed from silique 2,abscission of the first flower,
SRR3581886,RNA-Seq,50,1422022400,PRJNA314076,SAMN05170763,Plant,949471416,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796766,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 3 (SD.y3),SRP075604,Seed from silique 3,abscission of the first flower,
SRR3581887,RNA-Seq,50,1513423200,PRJNA314076,SAMN05170764,Plant,1009000797,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796767,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 4 (SD.y4),SRP075604,Seed from silique 4,abscission of the first flower,
SRR3581888,RNA-Seq,50,1318580950,PRJNA314076,SAMN05170765,Plant,880931563,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796768,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Young seeds 5 (SD.y5),SRP075604,Seed from silique 5,abscission of the first flower,
SRR3581889,RNA-Seq,50,1361202450,PRJNA314076,SAMN05170766,Plant,930028622,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796769,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Ovules from 6th and 7th flowers (OV.y6-7),SRP075604,Ovule,abscission of the first flower,
SRR3581890,RNA-Seq,50,1466169650,PRJNA314076,SAMN05170767,Plant,1004167529,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796770,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Stigmatic tissue (STI),SRP075604,Stigma,abscission of the first flower,
SRR3581891,RNA-Seq,50,1216913600,PRJNA314076,SAMN05170768,Plant,811298047,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796771,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Carpel of 6th and 7th flowers (POD.y6-7),SRP075604,Carpel,abscission of the first flower,
SRR3581892,RNA-Seq,50,1375406600,PRJNA314076,SAMN05170769,Plant,957986315,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796772,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Dry Seeds (SD.d),SRP075604,Seed,Dry seeds,
SRR3581893,RNA-Seq,50,2367481700,PRJNA314076,SAMN05170770,Plant,1608944122,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796773,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Germinating seeds 1 (SD.g1),SRP075604,Seed,,1 day after soaking
SRR3581894,RNA-Seq,50,1964293550,PRJNA314076,SAMN05170771,Plant,1330045545,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796774,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Germinating seeds 2 (SD.g2),SRP075604,Seed,,2 day after soaking
SRR3581895,RNA-Seq,50,1481911600,PRJNA314076,SAMN05170772,Plant,987665674,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796775,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Germinating seeds 3 (SD.g3),SRP075604,Seed,,3 day after soaking
SRR3581896,RNA-Seq,50,1621062050,PRJNA314076,SAMN05170773,Plant,1067901650,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1796776,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds from the senescent silique 1 (SD.sn1),SRP075604,Seed,first silique was yellow and ready to open,
SRR3581897,RNA-Seq,50,1421895100,PRJNA314076,SAMN05170774,Plant,923845555,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796777,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pod of the senescent silique 1 (POD.sn1),SRP075604,Pod,first silique was yellow and ready to open,
SRR3581898,RNA-Seq,50,1355072650,PRJNA314076,SAMN05170775,Plant,901228571,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796778,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Senescent silique 2 (SL.sn2),SRP075604,Silique,first silique was yellow and ready to open,
SRR3581899,RNA-Seq,50,1557668350,PRJNA314076,SAMN05170776,Plant,1071015524,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1796779,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Senescent internode (IN.sn),SRP075604,Internode,first silique was yellow and ready to open,
SRR3581336,RNA-Seq,50,1235069850,PRJNA314076,SAMN05170708,Plant,856374405,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795639,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Hypocotyl (S.H),SRP075604,Hypocotyl,,1 day
SRR3581345,RNA-Seq,50,1222149400,PRJNA314076,SAMN05170710,Plant,817358581,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795648,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Cotyledons (S.C),SRP075604,Cotyledon,,1 day
SRR3581346,RNA-Seq,50,2175727800,PRJNA314076,SAMN05170709,Plant,1511535693,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795641,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Meristem (S.M),SRP075604,Shoot apical meristem,,1 day
SRR3581347,RNA-Seq,50,1206831000,PRJNA314076,SAMN05170711,Plant,829250130,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795652,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seedling Root (S.R),SRP075604,Root,,1 day
SRR3581352,RNA-Seq,50,1238860850,PRJNA314076,SAMN05170712,Plant,855163906,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795653,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Root Apex (R.A),SRP075604,Root Apex,,7 day
